,wage,hours,IQ,KWW,educ,exper,tenure,age,married,black,south,urban,sibs,brthord,meduc,feduc,lwage
1,769,40,93,35,12,11,2,31,1,0,0,1,1,2,8,8,6.645091057
2,808,50,119,41,18,11,16,37,1,0,0,1,1,NA,14,14,6.694561958
3,825,40,108,46,14,11,9,33,1,0,0,1,1,2,14,14,6.71538353
4,650,40,96,32,12,13,7,32,1,0,0,1,4,3,12,12,6.47697258
5,562,40,74,27,11,14,5,34,1,0,0,1,10,6,6,11,6.331501961
7,600,40,91,24,10,13,0,30,0,0,0,1,1,2,8,8,6.396929741
9,1154,45,111,37,15,13,1,36,1,0,0,0,2,3,14,5,7.050989628
10,1000,40,95,44,12,16,16,36,1,0,0,1,1,1,12,11,6.907755375
11,930,43,132,44,18,8,13,38,1,0,0,0,1,1,13,14,6.835184574
13,900,45,125,40,15,4,3,30,0,0,0,0,2,NA,12,12,6.802394867
14,1318,38,119,24,16,7,2,28,1,0,0,1,3,1,10,10,7.183870792
15,1792,40,118,47,16,9,9,34,1,0,0,1,1,1,12,12,7.491087437
16,958,50,105,37,10,17,2,35,1,0,0,1,1,2,6,8,6.86484766
17,1360,45,109,39,15,6,9,36,1,0,0,1,3,3,12,10,7.215240002
18,850,40,72,36,11,19,10,38,1,0,0,1,2,3,10,8,6.745236397
22,1615,50,113,49,16,10,4,36,1,0,0,1,2,1,12,12,7.387090206
23,873,65,95,36,12,14,3,38,1,0,0,1,5,1,10,10,6.771935463
24,2137,45,145,50,16,17,8,38,1,0,0,1,2,1,12,12,7.667158127
25,1053,38,114,35,16,12,7,32,1,0,0,1,0,1,11,11,6.959398746
26,1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.379008293
27,1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.080026627
28,800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.684611797
29,1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.256297112
30,635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.453625202
32,1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.261225224
33,2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.889084339
34,666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.501289845
35,1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.48380661
37,1572,35,108,39,14,7,5,28,1,1,0,1,1,NA,12,8,7.360104084
38,1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.149916649
39,714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.570882797
40,1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.985641956
41,692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.539586067
42,1318,38,122,47,17,10,9,33,1,0,0,1,1,NA,12,8,7.183870792
44,1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.934397221
45,1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.466227531
47,770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.646390438
48,1154,50,94,37,16,11,5,33,1,0,0,1,1,NA,12,12,7.050989628
50,808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.694561958
51,1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.003065586
52,1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.050989628
53,1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.466799259
54,1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.907755375
56,769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.645091057
57,875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.774223804
58,1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.226209164
59,1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,7.280697346
60,800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,6.684611797
61,1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,7.466227531
62,1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,7.048386574
63,840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,6.733401775
66,619,42,93,20,12,10,10,28,0,0,0,1,8,NA,9,11,6.428105354
67,442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,6.091310024
70,1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,7.404279232
71,1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,7.282761097
72,2310,40,114,55,18,12,7,38,1,0,0,1,2,NA,12,16,7.745002747
73,1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,7.427738667
74,1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,7.118826389
75,855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,6.751101494
76,1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,6.97728157
78,1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,6.907755375
79,675,40,105,27,15,8,2,31,1,0,0,0,3,NA,14,12,6.514712811
80,1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,7.003065586
81,996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,6.903747082
83,1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,7.090076923
84,1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,7.434847832
85,686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,6.53087759
88,832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,6.723832607
89,579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,6.361302376
90,672,61,96,38,12,13,3,34,1,0,0,1,2,NA,12,13,6.510258198
91,2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,7.824046135
92,1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,6.981005669
93,750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,6.620073318
94,1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14,7.078341484
95,833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14,6.72503376
96,650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9,6.47697258
98,1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12,7.022868156
99,865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12,6.762729645
100,808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12,6.694561958
101,1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8,7.169350147
102,903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10,6.805722713
103,900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10,6.802394867
104,625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8,6.43775177
106,962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12,6.869014263
107,1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8,7.338888168
108,1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12,7.012115479
109,1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12,7.156176567
110,770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8,6.646390438
111,1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12,6.907755375
114,750,40,113,27,12,11,10,29,1,0,0,0,1,NA,12,12,6.620073318
115,654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9,6.483107567
116,601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12,6.398594856
117,600,40,106,32,13,10,11,28,1,0,0,1,6,NA,8,7,6.396929741
118,433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11,6.070737839
119,1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10,7.080026627
121,1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9,7.110696316
122,1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8,7.048386574
123,865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8,6.762729645
124,1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12,6.938284397
125,1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10,6.955592632
126,1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10,6.907755375
127,1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15,7.007600784
128,1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18,7.562161446
129,1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12,7.204892635
130,809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12,6.695798874
131,1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8,7.309881687
132,1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9,7.204892635
133,1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12,7.090076923
134,500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12,6.214608192
135,1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8,7.189167976
136,900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6,6.802394867
138,800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5,6.684611797
139,1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11,6.941190243
140,980,40,101,41,12,4,12,36,1,0,0,1,1,NA,6,9,6.887552738
141,884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10,6.784457207
142,480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6,6.173786163
143,923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12,6.827629089
144,513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8,6.24027586
145,1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8,7.007600784
147,2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16,7.926963329
148,779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12,6.65801096
149,950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12,6.856462002
150,1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12,7.239932537
151,1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8,7.309881687
152,650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11,6.47697258
153,670,40,93,27,13,9,5,29,1,0,0,1,2,NA,12,12,6.507277489
154,1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10,7.026426792
155,450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4,6.109247684
157,2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12,7.784889221
159,757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12,6.62936306
160,1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12,7.130898952
162,1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12,6.93244791
163,1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10,7.003065586
164,714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10,6.570882797
165,1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12,7.183870792
166,1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16,7.252053738
167,2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12,7.678789139
169,1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6,7.03878355
170,578,40,109,28,13,7,4,30,0,0,0,1,1,NA,12,11,6.359573841
173,750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10,6.620073318
174,1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10,6.907755375
175,951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9,6.857513905
176,635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7,6.453625202
177,1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5,7.130898952
179,400,40,75,33,12,11,6,32,1,0,0,1,4,NA,7,12,5.991464615
180,577,50,94,17,12,9,8,29,1,0,0,1,2,NA,12,8,6.357842445
181,590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12,6.380122662
182,923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8,6.827629089
183,1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8,7.130898952
184,1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10,7.003065586
185,1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10,7.02997303
186,652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9,6.480044365
187,618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12,6.4264884
188,962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11,6.869014263
189,529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8,6.270988464
190,817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12,6.705638885
192,840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8,6.733401775
193,866,40,121,30,16,7,4,28,1,0,0,0,1,NA,12,12,6.763885021
194,2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10,7.784889221
195,1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12,7.026426792
196,1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11,7.056175232
198,1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12,7.483244419
199,1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11,7.551187038
201,971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8,6.878326416
202,525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8,6.26339817
203,525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12,6.26339817
205,500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6,6.214608192
207,550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11,6.309918404
208,500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11,6.214608192
209,727,55,106,40,15,10,5,31,0,0,0,1,1,NA,12,12,6.588926315
210,865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8,6.762729645
211,1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10,6.985641956
212,1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12,7.173191547
213,575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12,6.354370117
214,623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12,6.434546471
215,515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12,6.244166851
216,1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12,7.149131775
217,990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16,6.897705078
218,600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4,6.396929741
219,1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12,7.056175232
220,500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12,6.214608192
221,795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12,6.678342342
224,1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14,7.130898952
225,1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14,6.921658039
228,1346,40,99,33,16,9,8,30,1,0,0,1,2,NA,11,12,7.204892635
231,1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12,7.130898952
233,1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10,7.280697346
234,1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9,7.237778187
235,821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8,6.710523129
236,794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9,6.677083492
238,520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14,6.253829002
239,1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8,7.455876827
240,1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18,7.562161446
241,1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18,7.051855564
242,2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17,7.678789139
246,1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7,7.313220501
247,826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6,6.716594696
248,937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6,6.842683315
250,1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12,6.938284397
251,1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12,7.148345947
252,1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12,7.035268784
254,1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11,7.199678421
255,1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12,6.968850613
256,935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7,6.840546608
257,808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8,6.694561958
258,375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5,5.926926136
262,1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8,7.051855564
264,622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12,6.432940006
265,841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12,6.734591484
266,769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5,6.645091057
268,1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12,7.562161446
269,1058,40,89,28,12,7,3,29,1,0,0,1,2,NA,8,6,6.964135647
270,417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6,6.0330863
271,1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16,7.091742039
272,1154,40,98,35,14,18,2,37,1,0,0,1,1,NA,10,14,7.050989628
274,1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12,7.091742039
275,711,45,100,38,18,13,3,36,1,0,0,1,1,NA,10,16,6.566672325
276,1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9,7.091742039
277,850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12,6.745236397
278,1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12,6.907755375
279,490,49,82,33,18,7,8,31,0,0,0,1,2,NA,12,9,6.194405556
280,1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10,6.907755375
281,865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5,6.762729645
282,1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8,7.226209164
283,1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16,7.368970394
286,898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14,6.800169945
287,906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12,6.809039116
288,952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10,6.858564854
289,571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9,6.347389221
290,445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11,6.098074436
291,289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11,5.666426659
292,1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13,7.275172234
293,962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8,6.869014263
294,1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11,6.980075836
296,1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13,7.130898952
299,800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8,6.684611797
300,1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13,6.956545353
302,654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12,6.483107567
303,781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8,6.660574913
